date,ACC_value
5699,0.387598756
5700,0.365322096
5701,0.357543091
5702,0.376701729
5703,0.383749948
5704,0.414937617
5705,0.421601815
5706,0.397284685
5707,0.405839757
5708,0.40462006
5709,0.404246929
5710,0.424005099
5711,0.427818944
5712,0.409431786
5713,0.385859198
5714,0.375040122
5715,0.365035513
5716,0.355007978
5717,0.357258227
5718,0.352547951
5719,0.348973689
5720,0.337301169
5721,0.334987299
5722,0.348258379
5723,0.366839839
5724,0.409673662
5725,0.41200702
5726,0.416279971
5727,0.423371178
5728,0.44885642
5729,0.462487448
5730,0.456425073
5731,0.456654913
5732,0.449976386
5733,0.424340974
5734,0.426298335
5735,0.464214396
5736,0.481367528
5737,0.476642349
5738,0.480650497
5739,0.491846717
5740,0.501263257
5741,0.483779982
5742,0.490945127
5743,0.506092752
5744,0.533492368
5745,0.533644257
5746,0.541713857
5747,0.533609294
5748,0.517451178
5749,0.522614255
5750,0.528698409
5751,0.527834649
5752,0.520244214
5753,0.500757725
5754,0.521055817
5755,0.535320766
5756,0.56486001
5757,0.585862523
5758,0.591828605
5759,0.606411088
5760,0.596593332
5761,0.596291847
5762,0.592129517
5763,0.619015576
5764,0.626990032
5765,0.637183784
5766,0.645275165
5767,0.639961346
5768,0.631710051
5769,0.633362488
5770,0.640183161
5771,0.648212067
5772,0.641543283
5773,0.633496036
5774,0.639630056
5775,0.657928373
5776,0.631915245
5777,0.616160065
5778,0.620291443
5779,0.622257975
5780,0.608468753
5781,0.600894368
5782,0.603011069
5783,0.600569383
5784,0.614038205
5785,0.628495165
5786,0.637159711
5787,0.62479538
5788,0.608234902
5789,0.583584762
5790,0.556369133
5791,0.532108746
5792,0.535687593
5793,0.540828316
5794,0.52866058
5795,0.519381027
5796,0.532260061
5797,0.51950655
5798,0.530650039
5799,0.511853068
5800,0.483301389
5801,0.479808517
5802,0.463381586
5803,0.435293598
5804,0.425424257
5805,0.4079043
5806,0.416138972
5807,0.428630547
5808,0.433138495
5809,0.459227854
5810,0.485237543
5811,0.485833635
5812,0.480696351
5813,0.462967187
5814,0.488537831
5815,0.480500328
5816,0.447269897
5817,0.456694461
5818,0.437037742
5819,0.443833195
5820,0.439800974
5821,0.431820214
5822,0.452545314
5823,0.456411318
5824,0.451520494
5825,0.458513689
5826,0.460591989
5827,0.459412987
5828,0.457863146
5829,0.452862848
5830,0.464181152
5831,0.43864146
5832,0.453329405
5833,0.434369655
5834,0.417542082
5835,0.439554513
5836,0.463962203
5837,0.474561184
5838,0.488231188
5839,0.503711248
5840,0.515057064
